SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,MIN,PLUS_MINUS,IS_HOME,RESULT,OPP_PTS,POINT_DIFF,DAYS_SINCE_LAST_GAME,B2B_FLAG,THREE_IN_FOUR_FLAG,GAME_EFG_PCT,GAME_TOV_PCT,GAME_FTR,GAME_PACE_PROX,OPP_DREB,GAME_ORB_PCT_OFF,ROLL_WIN_PCT_3,ROLL_PTS_FOR_3,ROLL_PTS_AGAINST_3,ROLL_NET_RATING_3,ROLL_MARGIN_STD_3,ROLL_EFG_PCT_3,ROLL_TOV_PCT_3,ROLL_ORB_PCT_OFF_3,ROLL_FTR_3,ROLL_PACE_PROX_3,ROLL_WIN_PCT_5,ROLL_PTS_FOR_5,ROLL_PTS_AGAINST_5,ROLL_NET_RATING_5,ROLL_MARGIN_STD_5,ROLL_EFG_PCT_5,ROLL_TOV_PCT_5,ROLL_ORB_PCT_OFF_5,ROLL_FTR_5,ROLL_PACE_PROX_5,ROLL_WIN_PCT_10,ROLL_PTS_FOR_10,ROLL_PTS_AGAINST_10,ROLL_NET_RATING_10,ROLL_MARGIN_STD_10,ROLL_EFG_PCT_10,ROLL_TOV_PCT_10,ROLL_ORB_PCT_OFF_10,ROLL_FTR_10,ROLL_PACE_PROX_10,ROLL_WIN_PCT_20,ROLL_PTS_FOR_20,ROLL_PTS_AGAINST_20,ROLL_NET_RATING_20,ROLL_MARGIN_STD_20,ROLL_EFG_PCT_20,ROLL_TOV_PCT_20,ROLL_ORB_PCT_OFF_20,ROLL_FTR_20,ROLL_PACE_PROX_20,SOS_OPP_NET_10,SOS_OPP_NET_10_INCL_CURRENT,WIN,ELO_PRE,SECOND_LAST_GAME_DATE,N_COMPLETED_GAMES
42025,1610612737,ATL,Atlanta Hawks,2026-04-30,ATL vs. NYK,L,89,31,82,9,35,18,23,11,24,35,22,19,5,4,22,240,-51,1,0,140,-51,2.0,0,0,0.4329268292682927,0.17098632109431244,0.2804878048780488,100.12,37,0.22916666189236123,0.3333333333333333,101.33333333333333,116.0,-14.666666666666671,15.044378795195676,0.5076818903521061,0.13623586982276217,0.22635658402099226,0.26944989259363034,98.97333333333331,0.4,102.6,113.4,-10.800000000000011,12.61744823647,0.5179339532832092,0.12737007208159395,0.20062573286005136,0.2621382199325085,98.67999999999999,0.4,111.6,114.9,-3.3000000000000114,19.641509333268875,0.5426882999190763,0.1244829461115274,0.2378272759472182,0.23717319506379075,101.296,0.6,116.95,113.45,3.5,19.272287166591806,0.5558073927423883,0.1208327964286511,0.2572265976628891,0.23293763111914934,102.518,2.4,4.749999999999998,0.0,1573.9233324609954,2026-04-28,416
42025,1610612738,BOS,Boston Celtics,2026-05-02,BOS vs. PHI,L,100,37,93,13,49,13,16,10,34,44,19,5,4,7,23,240,-9,1,0,109,-9,2.0,0,0,0.46774193548387094,0.0476009139375476,0.17204301075268819,95.04,41,0.19607842752787397,0.3333333333333333,106.0,105.0,1.0,26.888659319497524,0.5251179610090435,0.11544244950282005,0.2660818654169233,0.25543751945993726,97.49333333333334,0.4,104.6,105.2,-0.6000000000000085,20.65913841378676,0.5219094504852984,0.12515263471817734,0.31157219263834446,0.23568725852018488,94.976,0.6,112.2,105.7,6.5,18.76314354140999,0.5553706051003393,0.12260770598252173,0.27929457638753463,0.21604115252227088,97.51599999999999,0.7,114.5,106.15,8.349999999999994,15.862152903589154,0.5587195855342165,0.11859437895453376,0.2850989307702138,0.23550190820075007,98.09200000000001,0.35,-1.510000000000001,0.0,1688.1289596993956,2026-04-30,417
42025,1610612739,CLE,Cleveland Cavaliers,2026-05-01,CLE @ TOR,L,110,40,93,11,41,19,27,19,33,52,23,18,8,4,21,265,-2,0,0,112,-2,2.0,0,0,0.489247311827957,0.146484375,0.2903225806451613,103.88,28,0.40425531054775937,0.3333333333333333,106.0,113.0,-7.0,13.747727084867522,0.5327089541648927,0.16310696613862277,0.2681347953318653,0.2979991485738612,100.18666666666667,0.6,111.8,111.4,0.3999999999999915,14.08190328045186,0.5697071812152826,0.15493033321601252,0.2496528043600918,0.30094733980622357,100.512,0.7,117.2,114.8,2.4000000000000057,13.993649353268147,0.572329551922658,0.14087349564185575,0.2711445430525257,0.2969973429728648,101.876,0.7,119.1,117.0,2.0999999999999943,12.590305376506329,0.5749564408710444,0.126935067267046,0.2562610544091358,0.30019952815416817,101.446,2.4599999999999995,3.3899999999999992,,1629.3129653936974,2026-04-29,416
22025,1610612740,NOP,New Orleans Pelicans,2026-04-12,NOP @ MIN,L,126,45,107,5,21,31,38,20,32,52,20,9,9,6,28,240,-6,0,0,132,-6,2.0,0,0,0.4439252336448598,0.06781193490054249,0.35514018691588783,112.72,35,0.3636363570247935,0.3333333333333333,127.33333333333333,131.0,-3.6666666666666714,22.50185177565023,0.540969414495358,0.12156793852444527,0.2365389031196442,0.3193508535489667,112.38666666666666,0.2,120.2,125.6,-5.3999999999999915,16.334013591276335,0.5376768867924528,0.13061882769736008,0.2318836346927368,0.3035152740341419,107.768,0.1,113.9,124.2,-10.299999999999997,14.28324581847947,0.5235049045689358,0.1149767153094287,0.2305555887752136,0.2734556043717486,104.024,0.35,116.45,119.25,-2.799999999999997,15.278467820673914,0.5354678210875301,0.12247919681192887,0.26107214543775425,0.30036690900517166,103.426,1.1100000000000008,0.7500000000000014,,1382.2137587666434,2026-04-10,410
22025,1610612741,CHI,Chicago Bulls,2026-04-12,CHI @ DAL,L,128,52,106,10,38,14,19,13,29,42,30,13,12,3,20,240,-21,0,0,149,-21,2.0,0,1,0.5377358490566038,0.10207286432160805,0.1792452830188679,114.36,41,0.24074073628257897,0.6666666666666666,117.0,111.0,6.0,27.83882181415011,0.5247181659684911,0.13718305823772456,0.2342001524603242,0.2849672738556368,108.44,0.4,111.4,117.8,-6.3999999999999915,28.076680715497695,0.5159298006799958,0.1434542727008681,0.24015645294627727,0.2857273457270302,106.176,0.2,117.1,127.6,-10.5,19.906726947888195,0.5285653559220702,0.1367795380625419,0.2333644798248066,0.2977486906161854,109.03600000000002,0.3,117.25,124.55,-7.299999999999997,17.53522770101135,0.5375879883425053,0.13594262170880497,0.23838604830030313,0.2698607715661091,107.83600000000001,-3.109999999999998,-3.7399999999999993,,1295.614931197232,2026-04-10,410
22025,1610612742,DAL,Dallas Mavericks,2026-04-12,DAL vs. CHI,W,149,52,100,22,49,23,27,16,41,57,35,18,10,5,24,240,21,1,1,128,21,2.0,0,0,0.63,0.13858946720049276,0.27,113.88,29,0.3555555476543212,0.0,110.0,122.33333333333333,-12.333333333333329,7.023769168568494,0.46815944355270195,0.08145160829945695,0.2557414286057689,0.24035618741878764,102.12,0.2,118.2,126.6,-8.399999999999991,9.476286192385695,0.5087186326387982,0.08287633202462259,0.23503597474534205,0.2912950521641913,103.968,0.2,115.0,125.2,-10.200000000000003,11.933147112141064,0.5059999884087912,0.10359034006325436,0.21478430288926997,0.3080935291156896,105.708,0.2,114.25,125.25,-11.0,12.97365752105721,0.5140349734306098,0.1162434485992025,0.2443342998765404,0.28095227252216337,104.64200000000001,0.8600000000000009,0.5100000000000009,1.0,1274.5656033003982,2026-04-10,410
42025,1610612743,DEN,Denver Nuggets,2026-04-30,DEN @ MIN,L,98,34,75,10,27,20,25,6,27,33,24,13,4,8,26,240,-12,0,0,110,-12,3.0,0,0,0.52,0.13131313131313133,0.3333333333333333,93.0,31,0.16216215777940116,0.3333333333333333,105.66666666666667,112.66666666666667,-7.0,16.462077633154326,0.4788557087897427,0.10938999714549165,0.17852931683413006,0.37028292592855294,101.97333333333331,0.4,109.4,112.4,-3.0,14.053469322555198,0.49197795347486134,0.10650808495351789,0.16570344736606324,0.3677992663831141,103.328,0.7,121.1,117.2,3.8999999999999915,12.913816889930992,0.54533013504681,0.10344824481512593,0.22473537080552272,0.28875601560399183,104.252,0.75,123.75,117.2,6.549999999999997,11.944939470226231,0.5727006091504003,0.1088867607756862,0.2167662841276321,0.28304616005333366,104.16,4.879999999999998,3.289999999999999,,1688.2871127771941,2026-04-27,416
22025,1610612744,GSW,Golden State Warriors,2026-04-12,GSW @ LAC,L,110,36,86,11,39,27,32,16,31,47,24,10,3,3,21,240,-5,0,0,115,-5,2.0,0,1,0.48255813953488375,0.09084302325581395,0.37209302325581395,94.08,34,0.31999999360000014,0.3333333333333333,110.33333333333333,116.0,-5.666666666666671,10.50396750439247,0.5615025594700395,0.16066551858427816,0.2819731011748657,0.26217002910769854,96.71999999999998,0.2,111.6,116.6,-5.0,7.778174593052,0.5535682023486902,0.1367604874138026,0.2525171920706601,0.2474742565730284,97.952,0.4,114.1,118.9,-4.800000000000011,10.17404104135183,0.5657741460880548,0.14895870189871255,0.25668757200068437,0.27109451383635264,100.756,0.3,112.6,118.5,-5.900000000000006,9.261692467817168,0.5461498213833706,0.14384948446580312,0.2732536446430161,0.2511527471631325,101.33200000000001,-2.539999999999998,-0.8699999999999989,,1356.9540042932972,2026-04-10,410
42025,1610612745,HOU,Houston Rockets,2026-05-01,HOU vs. LAL,L,78,28,80,5,28,17,24,8,37,45,13,14,6,9,23,240,-20,1,0,98,-20,2.0,0,0,0.38125,0.13389441469013005,0.3,96.56,39,0.1702127623358987,0.6666666666666666,107.33333333333333,100.33333333333333,7.0,11.532562594670797,0.5177248677248678,0.12334819131098824,0.2664258622660916,0.3169144200890233,98.25333333333333,0.4,102.8,101.8,1.0,11.597413504743216,0.4864957397722892,0.12293103020924238,0.31465635275987214,0.2866087221271122,97.224,0.6,112.7,106.9,5.799999999999997,12.916827955982283,0.525047481888899,0.1228639250608438,0.34065547680636976,0.27176668692827344,99.548,0.65,116.9,108.8,8.100000000000009,14.044665591567025,0.5498326947769157,0.12004665470849736,0.32161493705881417,0.26396804435289156,99.884,-0.9900000000000005,-0.05000000000000142,0.0,1653.5796062680777,2026-04-29,416
22025,1610612746,LAC,LA Clippers,2026-04-12,LAC vs. GSW,W,115,42,89,14,39,17,19,10,34,44,27,10,3,4,24,240,5,1,1,110,5,2.0,0,0,0.550561797752809,0.09314456035767511,0.21348314606741572,97.36,31,0.24390243307555043,0.3333333333333333,107.66666666666667,115.66666666666667,-8.0,18.19340539866024,0.5267663170376147,0.13528099272953506,0.2272408914842695,0.2426653022606098,100.71999999999998,0.4,112.0,114.8,-2.799999999999997,22.45439823286297,0.5357185092501517,0.1250082806943667,0.22801119943917286,0.22996103268876414,101.86399999999999,0.6,115.3,110.4,4.8999999999999915,20.62064768893333,0.5702946138178965,0.1242016350665585,0.2270575804023062,0.2612228255079043,99.412,0.55,117.8,114.55,3.25,16.379946018804436,0.5727803727233454,0.11689961225053176,0.23519115513522473,0.28729210430142277,99.97999999999999,0.12000000000000313,0.7700000000000017,1.0,1534.1801728406342,2026-04-10,410
