bin_lo,bin_hi,n,mean_predicted_p,empirical_win_rate,ece_contribution,ece_total
0.0,0.1,0,,,0.0,0.16878235294117644
0.1,0.2,0,,,0.0,0.16878235294117644
0.2,0.30000000000000004,2,0.295,1.0,0.04147058823529412,0.16878235294117644
0.30000000000000004,0.4,1,0.3554,1.0,0.018958823529411768,0.16878235294117644
0.4,0.5,11,0.431,0.36363636363636365,0.021794117647058818,0.16878235294117644
0.5,0.6000000000000001,9,0.5689555555555557,0.6666666666666666,0.025864705882352904,0.16878235294117644
0.6000000000000001,0.7000000000000001,5,0.6622399999999999,0.6,0.009152941176470582,0.16878235294117644
0.7000000000000001,0.8,5,0.71202,0.4,0.04588529411764705,0.16878235294117644
0.8,0.9,1,0.8077,1.0,0.005655882352941177,0.16878235294117644
0.9,1.0,0,,,0.0,0.16878235294117644
